log_file,job_date,experiment_name,MODEL_NAME,MODEL_ID,SUPCON_SIMILARITY,TEMPERATURE,UNIFORMITY_WEIGHT,UNIFORMITY_T,QUEUE_SIZE,USE_QUEUE,GLOBAL_CENTER,CENTER_BEFORE_NORM,TOPK_NEG,WARMUP_EPOCHS,ALPHA_END,ALPHA_RAMP_EPOCHS,MAX_DURATION_SECONDS,BATCH_SIZE,ACCUM_STEPS,NUM_WORKERS,SEED,RAWBOOST_PROB,USE_RAWBOOST,FINETUNE_ENCODER,HEAD_LR,ENC_LR,WEIGHT_DECAY,NUM_SAMPLES,TARGET_SAMPLE_RATE,INPUT_DIM,HIDDEN_DIM,DROPOUT,USE_RAVDESS,USE_COMMONVOICE,best_dev_loss,best_dev_epoch,final_train_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la,hyperparams
mem_bank_0_supcon_temp_0.5-41375613.log,2026-01-30 15:11:52,mem_bank_0_supcon_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_temp_0.5-41375745.log,2026-01-30 15:19:09,mem_bank_0_supcon_temp_0.5,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,cosine,0.5,0.0,0.5,512,0,1,1,15,100,0.9,20,10,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.9669,21,1.982,1.9786,,,,,,,,,"TEMPERATURE=0.5
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=512
GLOBAL_CENTER=1
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=0.9
ALPHA_RAMP_EPOCHS=20"
mem_bank_0_supcon_temp_0.5-41413562.log,2026-01-30 20:50:25,mem_bank_0_supcon_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_temp_0.5-41415269.log,2026-01-30 21:05:48,mem_bank_0_supcon_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,1.2398,18,1.2348,1.2398,0.17681957414216998,25.71847054661144,19.17758140900062,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_temp_0.5-41434641.log,2026-01-31 03:02:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17681957414216998,25.71847054661144,19.17758140900062,42.01055638643702,52.286995213940514,,,,
mem_bank_1024_supcon_geodesic_temp_0.05-40690535.log,2026-01-22 11:10:10,mem_bank_1024_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,1024,1,,,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.2479,17,1.2437,1.2479,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=1024
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
mem_bank_1024_supcon_geodesic_temp_0.05-40725281.log,2026-01-22 16:27:29,mem_bank_1024_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,128,0,,,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.9812,6,1.9994,1.9812,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=128
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
mem_bank_1024_supcon_geodesic_temp_0.05-40725283.log,2026-01-22 16:33:11,mem_bank_1024_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,128,1,,,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,2.7042,1,2.9665,2.707,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=128
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
mem_bank_1024_supcon_geodesic_temp_0.05-40728581.log,2026-01-22 17:45:22,mem_bank_1024_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,128,1,,,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,2.6959,14,3.22,2.704,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=128
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
mem_bank_1024_supcon_geodesic_temp_0.05-40732537.log,2026-01-22 19:00:49,mem_bank_1024_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,128,1,0,1,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.2429,15,1.2419,1.2431,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=128
GLOBAL_CENTER=0
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
