experiment_name,run_index,log_file,job_date,similarity,temperature,queue_size,hbm,uniformity_weight,uniformity_t,alpha_end,alpha_ramp_epochs,windowed,best_dev_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la
mem_bank_512_supcon_temp_0.5,1,mem_bank_512_supcon_temp_0.5-40824333.log,2026-01-25 03:09:50,cosine,0.5,512,,,,,,,0.9746,0.9746,0.25674280785926445,21.555197231669382,15.17799393669975,45.35436321152374,61.13022916611648,,,
mem_bank_512_supcon_temp_0.5,2,mem_bank_512_supcon_temp_0.5-41375548.log,2026-01-30 15:10:17,cosine,0.5,512,,,,,,,,,,,,,,,,
mem_bank_512_supcon_temp_0.5,3,mem_bank_512_supcon_temp_0.5-41375754.log,2026-01-30 15:20:11,cosine,0.5,512,,,,,,,1.9667,1.9755,0.20372154974466328,15.435124038374173,15.62856086151653,57.09599127362649,59.15779991362218,,,
mem_bank_512_supcon_temp_0.5,4,mem_bank_512_supcon_temp_0.5-41413628.log,2026-01-30 20:51:27,cosine,0.5,512,,,,,,,,,,15.435124038374173,,,,,,
mem_bank_512_supcon_temp_0.5,5,mem_bank_512_supcon_temp_0.5-41415265.log,2026-01-30 21:05:48,cosine,0.5,512,,,,,,,1.1922,1.1922,0.20372154974466328,15.435124038374173,15.62856086151653,57.09599127362649,59.15779991362218,,,
mem_bank_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5,1,mem_bank_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5-40689827.log,2026-01-22 03:23:26,geodesic,0.05,,,0.05,0.5,,,,2.7049,2.7054,,,,,,,,
mem_bank_supcon_temp_0.6,1,mem_bank_supcon_temp_0.6-40685482.log,2026-01-22 02:58:57,cosine,0.6,,,,,,,,2.708,2.708,,,,,,,,
mlaad_mem_bank_0_supcon_geodesic_temp_0.05,1,mlaad_mem_bank_0_supcon_geodesic_temp_0.05-41376166.log,2026-01-30 15:50:15,geodesic,0.05,0,,,,,,,9.9461,9.9824,,,,,,,,
mlaad_mem_bank_0_supcon_geodesic_temp_0.05,2,mlaad_mem_bank_0_supcon_geodesic_temp_0.05-41446739.log,2026-01-31 16:08:35,geodesic,0.05,0,,,,,,,9.9509,10.005,,,,,,,,
mlaad_mem_bank_0_supcon_geodesic_temp_0.05,3,mlaad_mem_bank_0_supcon_geodesic_temp_0.05-41493443.log,2026-02-01 17:08:08,geodesic,0.05,0,,,,,,,,,,,,,,,,
mlaad_mem_bank_0_supcon_geodesic_temp_0.05,4,mlaad_mem_bank_0_supcon_geodesic_temp_0.05-41534250.log,2026-02-02 08:17:42,geodesic,0.05,0,,,,,,,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,1,mlaad_windowed_supcon_geodesic_temp_0.05-40270145.log,2026-01-18 16:33:16,geodesic,0.05,,,,,,,1,2.6889,2.702,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,2,mlaad_windowed_supcon_geodesic_temp_0.05-40277841.log,2026-01-18 17:50:36,geodesic,0.05,,,,,,,1,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,3,mlaad_windowed_supcon_geodesic_temp_0.05-40278881.log,2026-01-18 17:55:38,geodesic,0.05,,,,,,,1,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,4,mlaad_windowed_supcon_geodesic_temp_0.05-40279935.log,2026-01-18 18:09:46,geodesic,0.05,,,,,,,1,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,5,mlaad_windowed_supcon_geodesic_temp_0.05-40281197.log,2026-01-18 18:43:37,geodesic,0.05,,,,,,,1,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,6,mlaad_windowed_supcon_geodesic_temp_0.05-40309575.log,2026-01-19 01:29:42,geodesic,0.05,,,,,,,1,,,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,7,mlaad_windowed_supcon_geodesic_temp_0.05-40315340.log,2026-01-19 03:14:47,geodesic,0.05,,,,,,,1,3.6306,3.6579,,,,,,,,
mlaad_windowed_supcon_geodesic_temp_0.05,8,mlaad_windowed_supcon_geodesic_temp_0.05-40361252.log,2026-01-19 15:53:04,geodesic,0.05,,,,,,,1,3.8238,3.9062,,,,,,,,
name=mlaad_windowed_supcon_geodesic_temp_0.05,1,mlaad_windowed_supcon_geodesic_temp_0.05-40375777.log,2026-01-20 00:11:58,geodesic,0.05,,,,,,,1,,,,,,,,,,
name=mlaad_windowed_supcon_geodesic_temp_0.05,2,mlaad_windowed_supcon_geodesic_temp_0.05-40428340.log,2026-01-20 03:00:22,geodesic,0.05,,,,,,,1,3.7989,3.8022,,,,,,,,
windowed_loader_supcon_geodesic_temp_0.05,1,windowed_loader_supcon_geodesic_temp_0.05-40212162.log,2026-01-17 13:19:37,geodesic,0.05,,,,,,,1,0.5659,0.5659,,,,,,,,
windowed_loader_supcon_geodesic_temp_0.05,2,windowed_loader_supcon_geodesic_temp_0.05-40508768.log,2026-01-20 19:57:14,geodesic,0.05,,,,,,,1,2.0722,2.2617,,,,,,,,
windowed_loader_supcon_geodesic_temp_0.05,3,windowed_loader_supcon_geodesic_temp_0.05-40509610.log,2026-01-21 01:52:52,geodesic,0.05,,,,,,,1,0.6624,0.6624,,9.131789926801279,,47.73832223214724,47.32758454322181,,,
windowed_loader_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5,1,windowed_loader_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5-40651234.log,2026-01-21 18:09:02,geodesic,0.05,,,0.05,0.5,,,1,0.2563,0.2563,,,,,,,,
windowed_loader_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5,2,windowed_loader_supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5-40669093.log,2026-01-21 23:25:58,geodesic,0.05,,,0.05,0.5,,,1,0.2563,0.2563,0.231406218437542,11.602187006354445,16.79600856428867,,,,,
windowed_loader_supcon_temp_0.6,1,windowed_loader_supcon_temp_0.6-40142631.log,2026-01-16 02:22:17,cosine,0.6,,,,,,,1,2.139,2.1973,,,,,,,,
windowed_loader_supcon_temp_0.6,2,windowed_loader_supcon_temp_0.6-40650957.log,2026-01-21 18:06:23,cosine,0.6,,,,,,,1,0.0233,0.0233,,,,,,,,
windowed_loader_supcon_temp_0.6,3,windowed_loader_supcon_temp_0.6-40669121.log,2026-01-21 23:28:01,cosine,0.6,,,,,,,1,0.0233,0.0233,2.6938206151718673,15.520018313500827,14.39565406036497,49.89056919307657,58.73041316328873,,,
windowed_loader_supcon_temp_0.6_uni_weight_0.05_uni_t_0.5,1,windowed_loader_supcon_temp_0.6_uni_weight_0.05_uni_t_0.5-40669078.log,2026-01-21 23:21:50,cosine,0.6,,,0.05,0.5,,,1,,,,,,,,,,
